ID,proportion
015F,8.245165035223345e-06
0524,8.245165035223345e-06
01C3,8.245165035223345e-06
052F,8.245165035223345e-06
02A7,8.245165035223345e-06
0365,8.245165035223345e-06
0476,8.245165035223345e-06
040F,8.245165035223345e-06
076C,8.245165035223345e-06
046F,8.245165035223345e-06
0231,8.245165035223345e-06
05C1,8.245165035223345e-06
077E,8.245165035223345e-06
00DD,8.245165035223345e-06
0709,8.245165035223345e-06
00FB,8.245165035223345e-06
028F,8.245165035223345e-06
07BD,8.245165035223345e-06
04D3,8.245165035223345e-06
02D3,8.245165035223345e-06
0699,8.245165035223345e-06
0432,8.245165035223345e-06
01F9,8.245165035223345e-06
0775,8.245165035223345e-06
0241,8.245165035223345e-06
01C0,8.245165035223345e-06
02C0,8.245165035223345e-06
061E,8.245165035223345e-06
06FC,8.245165035223345e-06
07DB,8.245165035223345e-06
0735,8.245165035223345e-06
0529,8.245165035223345e-06
0574,8.245165035223345e-06
0487,8.245165035223345e-06
0792,8.245165035223345e-06
056E,8.245165035223345e-06
0609,8.245165035223345e-06
02DF,8.245165035223345e-06
01E4,8.245165035223345e-06
0358,8.245165035223345e-06
01D3,8.245165035223345e-06
02C5,8.245165035223345e-06
0168,8.245165035223345e-06
0640,8.245165035223345e-06
0140,8.245165035223345e-06
0260,8.245165035223345e-06
006B,8.245165035223345e-06
0397,8.245165035223345e-06
02F8,8.245165035223345e-06
039C,8.245165035223345e-06
0743,6.596132028178676e-06
045F,6.596132028178676e-06
0173,6.596132028178676e-06
0781,6.596132028178676e-06
05B2,6.596132028178676e-06
00F2,6.596132028178676e-06
0060,6.596132028178676e-06
025F,6.596132028178676e-06
01FC,6.596132028178676e-06
0323,6.596132028178676e-06
0127,6.596132028178676e-06
0567,6.596132028178676e-06
01EC,6.596132028178676e-06
0695,6.596132028178676e-06
0451,6.596132028178676e-06
0712,6.596132028178676e-06
0793,6.596132028178676e-06
0520,6.596132028178676e-06
0149,6.596132028178676e-06
00C1,6.596132028178676e-06
001B,6.596132028178676e-06
06A4,6.596132028178676e-06
07D7,6.596132028178676e-06
04E6,6.596132028178676e-06
005D,6.596132028178676e-06
06DB,6.596132028178676e-06
0306,6.596132028178676e-06
002D,6.596132028178676e-06
0566,6.596132028178676e-06
0797,6.596132028178676e-06
02BD,6.596132028178676e-06
00C4,6.596132028178676e-06
040D,6.596132028178676e-06
06CA,6.596132028178676e-06
067A,6.596132028178676e-06
034F,6.596132028178676e-06
0205,6.596132028178676e-06
042D,6.596132028178676e-06
0769,6.596132028178676e-06
021A,6.596132028178676e-06
0040,6.596132028178676e-06
0555,6.596132028178676e-06
076A,6.596132028178676e-06
006F,6.596132028178676e-06
04E2,6.596132028178676e-06
07D3,6.596132028178676e-06
0676,6.596132028178676e-06
06F8,6.596132028178676e-06
0274,6.596132028178676e-06
06CC,6.596132028178676e-06
06C3,6.596132028178676e-06
03BD,6.596132028178676e-06
03FD,6.596132028178676e-06
03D5,6.596132028178676e-06
07DE,6.596132028178676e-06
